,Centre,SeriesNum,PET/CT,5minPET,Manufacturer,Scanner,Skull,FrameNum,Activity,image_ref_index,DCM_path,Slice Thickness,Rows,Columns,Number of Slices,Pixel Spacing
0,Aberdeen,01,P,True,GE,D710,True,1.0,39.75356316470528,3.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/ARI PARAMS/Frame1/,3.27,256,256,47.0,"[0.9765625, 0.9765625]"
1,Aberdeen,02,P,True,GE,D710,True,2.0,38.51726660864549,3.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/ARI PARAMS/Frame2/,3.27,256,256,47.0,"[0.9765625, 0.9765625]"
2,Aberdeen,03,P,True,GE,D710,True,3.0,37.31941765458286,3.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/ARI PARAMS/Frame3/,3.27,256,256,47.0,"[0.9765625, 0.9765625]"
3,Aberdeen,04,P,True,GE,D710,True,4.0,36.158820620063935,3.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/ARI PARAMS/Frame4/,3.27,256,256,47.0,"[0.9765625, 0.9765625]"
4,Aberdeen,05,P,True,GE,D710,True,5.0,35.0343170071788,3.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/ARI PARAMS/Frame5/,3.27,256,256,47.0,"[0.9765625, 0.9765625]"
5,Aberdeen,06,P,True,GE,D710,True,6.0,33.94478434615845,3.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/ARI PARAMS/Frame6/,3.27,256,256,47.0,"[0.9765625, 0.9765625]"
6,Aberdeen,07,P,True,GE,D710,True,1.0,39.75356316470528,4.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/IMANOVA PARAMS/Frame1/,3.27,128,128,47.0,"[1.953125, 1.953125]"
7,Aberdeen,08,P,True,GE,D710,True,2.0,38.51726660864549,4.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/IMANOVA PARAMS/Frame2/,3.27,128,128,47.0,"[1.953125, 1.953125]"
8,Aberdeen,09,P,True,GE,D710,True,3.0,37.31941765458286,4.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/IMANOVA PARAMS/Frame3/,3.27,128,128,47.0,"[1.953125, 1.953125]"
9,Aberdeen,10,P,True,GE,D710,True,4.0,36.158820620063935,4.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/IMANOVA PARAMS/Frame4/,3.27,128,128,47.0,"[1.953125, 1.953125]"
10,Aberdeen,11,P,True,GE,D710,True,5.0,35.0343170071788,4.0,D:/Hoffman/_Aberdeen/IMANOVA_BRAIN+SKULL/IMANOVA PARAMS/Frame5/,3.27,128,128,47.0,"[1.953125, 1.953125]"
